E;11
24193.107;2.98E-04
24193.264;3.10E-04
24193.422;3.20E-04
24193.578;3.26E-04
24193.736;3.31E-04
24193.893;3.31E-04
24194.049;3.29E-04
24194.207;3.23E-04
24194.363;3.14E-04
24194.521;3.03E-04
24194.678;2.88E-04
24194.836;2.72E-04
24194.992;2.51E-04
24195.15;2.29E-04
24195.307;2.05E-04
24195.463;1.79E-04
24195.621;1.51E-04
24195.777;1.22E-04
24195.936;9.15E-05
24196.092;6.03E-05
24196.25;2.84E-05
24196.406;-3.46E-06
24196.564;-3.56E-05
24196.72;-6.74E-05
24196.879;-9.88E-05
24197.035;-1.30E-04
24197.19;-1.59E-04
24197.348;-1.88E-04
24197.504;-2.16E-04
24197.662;-2.43E-04
24197.818;-2.70E-04
24197.977;-2.94E-04
24198.133;-3.18E-04
24198.291;-3.40E-04
24198.447;-3.61E-04
24198.604;-3.81E-04
24198.762;-3.99E-04
24198.918;-4.16E-04
24199.076;-4.32E-04
24199.232;-4.46E-04
24199.39;-4.59E-04
24199.547;-4.70E-04
24199.705;-4.80E-04
24199.861;-4.87E-04
24200.02;-4.93E-04
24200.176;-4.97E-04
24200.334;-4.99E-04
24200.49;-5.00E-04
24200.648;-4.98E-04
24200.805;-4.94E-04
24200.963;-4.88E-04
24201.12;-4.80E-04
24201.277;-4.70E-04
24201.434;-4.58E-04
24201.592;-4.45E-04
24201.748;-4.29E-04
24201.906;-4.12E-04
24202.062;-3.94E-04
24202.22;-3.74E-04
24202.377;-3.54E-04
24202.535;-3.32E-04
24202.691;-3.11E-04
24202.85;-2.89E-04
24203.006;-2.67E-04
24203.164;-2.46E-04
24203.32;-2.27E-04
24203.479;-2.07E-04
24203.635;-1.90E-04
24203.793;-1.75E-04
24203.95;-1.61E-04
24204.107;-1.50E-04
24204.264;-1.40E-04
24204.422;-1.33E-04
24204.578;-1.29E-04
24204.736;-1.26E-04
24204.893;-1.27E-04
24205.05;-1.28E-04
24205.207;-1.32E-04
24205.361;-1.37E-04
24205.52;-1.43E-04
24205.676;-1.51E-04
24205.834;-1.59E-04
24205.99;-1.67E-04
24206.148;-1.75E-04
24206.307;-1.83E-04
24206.463;-1.90E-04
24206.621;-1.96E-04
24206.777;-2.01E-04
24206.936;-2.05E-04
24207.092;-2.08E-04
24207.25;-2.09E-04
24207.406;-2.09E-04
24207.564;-2.06E-04
24207.72;-2.03E-04
24207.879;-1.99E-04
24208.035;-1.94E-04
24208.193;-1.88E-04
24208.35;-1.81E-04
24208.508;-1.74E-04
24208.664;-1.67E-04
24208.822;-1.60E-04
24208.98;-1.54E-04
24209.137;-1.48E-04
24209.295;-1.43E-04
24209.451;-1.39E-04
24209.61;-1.37E-04
24209.766;-1.36E-04
24209.924;-1.37E-04
24210.08;-1.40E-04
24210.238;-1.43E-04
24210.395;-1.49E-04
24210.553;-1.56E-04
24210.71;-1.64E-04
24210.867;-1.73E-04
24211.025;-1.84E-04
24211.182;-1.95E-04
24211.34;-2.06E-04
24211.496;-2.17E-04
24211.654;-2.28E-04
24211.81;-2.39E-04
24211.969;-2.48E-04
24212.127;-2.56E-04
24212.283;-2.63E-04
24212.441;-2.68E-04
24212.598;-2.72E-04
24212.756;-2.73E-04
24212.912;-2.73E-04
24213.07;-2.71E-04
24213.229;-2.66E-04
24213.385;-2.61E-04
24213.543;-2.53E-04
24213.697;-2.44E-04
24213.855;-2.34E-04
24214.012;-2.22E-04
24214.17;-2.09E-04
24214.326;-1.95E-04
24214.484;-1.80E-04
24214.64;-1.65E-04
24214.799;-1.49E-04
24214.957;-1.33E-04
24215.113;-1.17E-04
24215.271;-1.00E-04
24215.428;-8.39E-05
24215.586;-6.73E-05
24215.744;-5.09E-05
24215.9;-3.48E-05
24216.059;-1.92E-05
24216.215;-4.23E-06
24216.373;1.02E-05
24216.53;2.35E-05
24216.688;3.62E-05
24216.846;4.75E-05
24217.002;5.76E-05
24217.16;6.69E-05
24217.316;7.42E-05
24217.475;8.08E-05
24217.633;8.62E-05
24217.79;9.04E-05
24217.947;9.40E-05
24218.104;9.67E-05
24218.262;9.91E-05
24218.42;1.01E-04
24218.576;1.03E-04
24218.734;1.06E-04
24218.89;1.08E-04
24219.049;1.12E-04
24219.207;1.16E-04
24219.363;1.20E-04
24219.521;1.26E-04
24219.68;1.32E-04
24219.836;1.40E-04
24219.994;1.48E-04
24220.15;1.57E-04
24220.309;1.67E-04
24220.467;1.77E-04
24220.623;1.88E-04
24220.781;2.00E-04
24220.938;2.12E-04
24221.096;2.25E-04
24221.254;2.37E-04
24221.41;2.51E-04
24221.568;2.64E-04
24221.727;2.77E-04
24221.88;2.90E-04
24222.04;3.04E-04
24222.195;3.17E-04
24222.354;3.30E-04
24222.51;3.42E-04
24222.668;3.55E-04
24222.826;3.67E-04
24222.982;3.78E-04
24223.14;3.90E-04
24223.299;4.01E-04
24223.455;4.13E-04
24223.613;4.24E-04
24223.771;4.34E-04
24223.928;4.45E-04
24224.086;4.54E-04
24224.242;4.63E-04
24224.4;4.72E-04
24224.559;4.78E-04
24224.715;4.84E-04
24224.873;4.89E-04
24225.031;4.91E-04
24225.188;4.91E-04
24225.346;4.89E-04
24225.504;4.84E-04
24225.66;4.77E-04
24225.818;4.66E-04
24225.977;4.53E-04
24226.133;4.38E-04
24226.291;4.18E-04
24226.45;3.95E-04
24226.605;3.71E-04
24226.764;3.41E-04
24226.922;3.10E-04
24227.078;2.75E-04
24227.236;2.37E-04
24227.393;1.97E-04
24227.55;1.54E-04
24227.709;1.08E-04
24227.865;6.11E-05
24228.023;1.09E-05
24228.182;-4.07E-05
24228.338;-9.26E-05
24228.496;-1.46E-04
24228.654;-2.00E-04
24228.812;-2.54E-04
24228.969;-3.05E-04
24229.127;-3.57E-04
24229.285;-4.07E-04
24229.441;-4.52E-04
24229.6;-4.97E-04
24229.758;-5.38E-04
24229.914;-5.74E-04
24230.07;-6.08E-04
24230.227;-6.37E-04
24230.385;-6.61E-04
24230.543;-6.81E-04
24230.7;-6.96E-04
24230.857;-7.06E-04
24231.016;-7.12E-04
24231.172;-7.12E-04
24231.33;-7.07E-04
24231.488;-6.99E-04
24231.646;-6.85E-04
24231.803;-6.67E-04
24231.96;-6.47E-04
24232.12;-6.22E-04
24232.275;-5.95E-04
24232.434;-5.66E-04
24232.592;-5.34E-04
24232.748;-5.02E-04
24232.906;-4.70E-04
24233.064;-4.36E-04
24233.223;-4.04E-04
24233.379;-3.72E-04
24233.537;-3.42E-04
24233.695;-3.13E-04
24233.852;-2.86E-04
24234.01;-2.62E-04
24234.168;-2.41E-04
24234.324;-2.21E-04
24234.482;-2.07E-04
24234.64;-1.95E-04
24234.799;-1.85E-04
24234.955;-1.82E-04
24235.113;-1.82E-04
24235.271;-1.84E-04
24235.428;-1.94E-04
24235.586;-2.06E-04
